duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,num_failed_logins,land,wrong_fragment,urgent,label
0.73,tcp,http,SF,645.0,492.0,3.0,1.0,0,0,0,0,normal
2.61,tcp,http,SF,603.0,520.0,5.0,4.0,1,0,0,0,normal
0.62,udp,private,SF,688.0,610.0,9.0,7.0,0,0,0,0,normal
3.61,tcp,http,SF,322.0,560.0,0.0,12.0,0,0,0,0,normal
0.11,tcp,ssh,SF,209.0,460.0,6.0,12.0,0,0,0,0,normal
2.14,udp,ftp,RSTO,0.0,559.0,4.0,3.0,1,0,0,0,normal
3.85,tcp,ftp,SF,671.0,520.0,7.0,7.0,1,0,0,0,normal
0.03,tcp,private,RSTO,372.0,589.0,4.0,12.0,1,0,0,0,normal
3.48,tcp,http,SF,193.0,529.0,9.0,5.0,0,0,0,0,normal
0.16,udp,http,SF,330.0,603.0,13.0,11.0,0,0,0,0,normal
1.71,tcp,smtp,SF,137.0,662.0,0.0,7.0,0,0,0,0,normal
0.48,tcp,ssh,SF,104.0,287.0,7.0,15.0,0,0,0,0,normal
0.17,icmp,dns,SF,230.0,559.0,7.0,4.0,0,0,0,0,normal
0.86,tcp,ssh,SF,154.0,572.0,14.0,8.0,1,0,0,0,normal
1.6,tcp,private,SF,382.0,607.0,12.0,6.0,0,0,0,0,normal
0.1,icmp,ftp,SF,5980.0,68.0,77.0,56.0,1,0,1,0,attack
0.49,tcp,smtp,SF,422.0,416.0,12.0,0.0,0,0,0,0,normal
2.74,tcp,http,SF,303.0,642.0,10.0,14.0,0,0,0,0,normal
2.21,tcp,smtp,SF,463.0,562.0,8.0,16.0,0,0,0,0,normal
4.3,tcp,dns,SF,384.0,483.0,1.0,9.0,0,0,0,0,normal
5.1,udp,ftp,SF,130.0,688.0,0.0,10.0,0,0,0,0,normal
1.39,tcp,ftp,SF,59.0,463.0,10.0,16.0,0,0,0,0,normal
3.49,udp,smtp,SF,893.0,625.0,0.0,5.0,0,0,0,0,normal
1.33,udp,ftp,SF,302.0,514.0,12.0,8.0,0,0,0,0,normal
0.34,icmp,http,S0,4436.0,46.0,18.0,36.0,3,0,0,0,attack
